id,symbol,direction,entry,sl,tp1,tp2,rr,confidence,created_at
297,CLOUSDT,LONG,0.23518838,0.2289,0.24147676,0.24776515,2.00,MEDIUM,2026-06-22T12:54:49+00:00
298,RESOLVUSDT,LONG,0.02158905,0.01971,0.02346809,0.02534714,2.00,MEDIUM,2026-06-22T12:54:49+00:00
299,IDUSDT,LONG,0.03675964,0.03564,0.03787929,0.03899893,2.00,WEAK,2026-06-22T12:54:49+00:00
300,SYNUSDT,LONG,0.26850839,0.23952,0.29749679,0.32648518,2.00,WEAK,2026-06-22T12:54:49+00:00
301,BELUSDT,LONG,0.1936653,0.16244,0.2248906,0.2561159,2.00,MEDIUM,2026-06-22T15:16:22+00:00
302,BICOUSDT,SHORT,0.03930042,0.04256,0.03604084,0.03278125,2.00,MEDIUM,2026-06-22T15:16:22+00:00
303,BTWUSDT,LONG,0.11476887,0.10517,0.12436775,0.13396662,2.00,MEDIUM,2026-06-22T15:16:22+00:00
304,CLOUSDT,LONG,0.23052411,0.20549,0.25555821,0.28059232,2.00,MEDIUM,2026-06-22T15:16:22+00:00
305,SYNUSDT,LONG,0.22645089,0.20973446,0.24316732,0.25988375,2.00,WEAK,2026-06-22T15:16:22+00:00
306,BELUSDT,LONG,0.19641085,0.16244,0.23038169,0.26435254,2.00,MEDIUM,2026-06-22T15:34:52+00:00
307,LUMIAUSDT,LONG,0.13092854,0.12115,0.14070708,0.15048562,2.00,MEDIUM,2026-06-22T15:34:52+00:00
308,BICOUSDT,SHORT,0.03909638,0.04256,0.03563276,0.03216914,2.00,WEAK,2026-06-22T15:34:52+00:00
309,CLOUSDT,LONG,0.23126698,0.20549,0.25704396,0.28282093,2.00,WEAK,2026-06-22T15:34:52+00:00
310,SYNUSDT,LONG,0.23191071,0.21511357,0.24870786,0.265505,2.00,WEAK,2026-06-22T15:34:52+00:00
316,BELUSDT,LONG,0.20142535,0.16244,0.24041071,0.27939606,2.00,MEDIUM,2026-06-22T16:03:11+00:00
317,BICOUSDT,SHORT,0.03864548,0.04118,0.03611097,0.03357645,2.00,MEDIUM,2026-06-22T16:03:11+00:00
318,LUMIAUSDT,LONG,0.13284158,0.12115,0.14453316,0.15622474,2.00,MEDIUM,2026-06-22T16:03:11+00:00
319,CLOUSDT,LONG,0.23215076,0.20549,0.25881152,0.28547228,2.00,WEAK,2026-06-22T16:03:11+00:00
320,SYNUSDT,LONG,0.23532732,0.21552,0.25513464,0.27494196,2.00,WEAK,2026-06-22T16:03:11+00:00
321,BICOUSDT,SHORT,0.0365829,0.04092,0.03224581,0.02790871,2.00,MEDIUM,2026-06-22T17:31:32+00:00
322,BELUSDT,LONG,0.20189661,0.16735,0.23644321,0.27098982,2.00,WEAK,2026-06-22T17:31:32+00:00
323,CLOUSDT,LONG,0.23409788,0.20549,0.26270576,0.29131364,2.00,WEAK,2026-06-22T17:31:32+00:00
324,LUMIAUSDT,LONG,0.13485125,0.12186,0.1478425,0.16083375,2.00,WEAK,2026-06-22T17:31:32+00:00
325,SYNUSDT,LONG,0.25199886,0.21552,0.28847771,0.32495657,2.00,WEAK,2026-06-22T17:31:32+00:00
327,BICOUSDT,SHORT,0.03610983,0.04092,0.03129966,0.02648949,2.00,MEDIUM,2026-06-22T17:46:59+00:00
329,DEXEUSDT,LONG,17.84688272,16.81,18.88376545,19.92064817,2.00,WEAK,2026-06-22T17:46:59+00:00
330,SYNUSDT,LONG,0.25256395,0.21552,0.28960789,0.32665184,2.00,WEAK,2026-06-22T17:46:59+00:00
336,BICOUSDT,SHORT,0.03505158,0.04079,0.02931315,0.02357473,2.00,MEDIUM,2026-06-22T18:20:15+00:00
338,DEXEUSDT,LONG,17.89992723,17.51,18.28985445,18.67978168,2.00,WEAK,2026-06-22T18:20:15+00:00
339,LUMIAUSDT,LONG,0.13566578,0.12462,0.14671155,0.15775733,2.00,WEAK,2026-06-22T18:20:15+00:00
340,SYNUSDT,LONG,0.25433175,0.21552,0.29314351,0.33195526,2.00,WEAK,2026-06-22T18:20:15+00:00
341,BICOUSDT,SHORT,0.03455522,0.03984,0.02927044,0.02398565,2.00,MEDIUM,2026-06-22T18:35:38+00:00
342,BLESSUSDT,LONG,0.00975699,0.008902,0.01061197,0.01146696,2.00,MEDIUM,2026-06-22T18:35:38+00:00
345,SYNUSDT,LONG,0.25524075,0.21552,0.29496149,0.33468224,2.00,WEAK,2026-06-22T18:35:38+00:00
351,BICOUSDT,SHORT,0.03371477,0.03971,0.02771954,0.02172431,2.00,MEDIUM,2026-06-22T19:12:16+00:00
352,BLESSUSDT,LONG,0.00991699,0.008969,0.01086498,0.01181296,2.00,MEDIUM,2026-06-22T19:12:16+00:00
355,SYNUSDT,LONG,0.25812641,0.21552,0.30073281,0.34333922,2.00,WEAK,2026-06-22T19:12:16+00:00
356,BLESSUSDT,LONG,0.0099897,0.008969,0.01101041,0.01203111,2.00,MEDIUM,2026-06-22T19:19:00+00:00
357,SYNUSDT,LONG,0.26055114,0.21552,0.30558229,0.35061343,2.00,MEDIUM,2026-06-22T19:19:00+00:00
358,BICOUSDT,SHORT,0.03340732,0.03971,0.02710463,0.02080195,2.00,WEAK,2026-06-22T19:19:00+00:00
360,DEXEUSDT,LONG,17.94391741,17.51,18.37783481,18.81175222,2.00,WEAK,2026-06-22T19:19:00+00:00
361,BLESSUSDT,LONG,0.01006485,0.008969,0.0111607,0.01225655,2.00,MEDIUM,2026-06-22T19:33:00+00:00
362,BICOUSDT,SHORT,0.03319897,0.03936,0.02703794,0.0208769,2.00,WEAK,2026-06-22T19:33:00+00:00
365,SYNUSDT,LONG,0.26192315,0.21552,0.30832629,0.35472944,2.00,WEAK,2026-06-22T19:33:00+00:00
371,BLESSUSDT,LONG,0.01013504,0.008969,0.01130107,0.01246711,2.00,MEDIUM,2026-06-22T19:48:30+00:00
372,BICOUSDT,SHORT,0.03303364,0.03899,0.02707728,0.02112091,2.00,WEAK,2026-06-22T19:48:30+00:00
373,CLOUSDT,LONG,0.23362018,0.22672,0.24052036,0.24742054,2.00,WEAK,2026-06-22T19:48:30+00:00
375,SYNUSDT,LONG,0.26249012,0.21552,0.30946023,0.35643035,2.00,WEAK,2026-06-22T19:48:30+00:00
381,CLOUSDT,LONG,0.27062114,0.23202,0.30922228,0.34782342,2.00,MEDIUM,2026-06-23T04:32:46+00:00
382,FOLKSUSDT,LONG,2.77483658,2.656,2.89367316,3.01250974,2.00,MEDIUM,2026-06-23T04:32:46+00:00
383,HUSDT,SHORT,0.13243607,0.14049,0.12438214,0.11632821,2.00,MEDIUM,2026-06-23T04:32:46+00:00
384,BICOUSDT,SHORT,0.03168357,0.03388,0.02948714,0.02729071,2.00,WEAK,2026-06-23T04:32:46+00:00
385,DEXEUSDT,LONG,21.73706951,18.03,25.44413903,29.15120854,2.00,WEAK,2026-06-23T04:32:46+00:00
386,BICOUSDT,SHORT,0.03107167,0.03388,0.02826333,0.025455,2.00,MEDIUM,2026-06-23T04:46:27+00:00
387,CLOUSDT,LONG,0.27358583,0.23202,0.31515167,0.3567175,2.00,MEDIUM,2026-06-23T04:46:27+00:00
388,DEXEUSDT,LONG,21.78449902,18.11,25.45899804,29.13349706,2.00,MEDIUM,2026-06-23T04:46:27+00:00
389,FOLKSUSDT,LONG,2.67275,2.57975,2.76575,2.85875,2.00,MEDIUM,2026-06-23T04:46:27+00:00
390,UBUSDT,SHORT,0.09757793,0.11193,0.08322587,0.0688738,2.00,MEDIUM,2026-06-23T04:46:27+00:00
