id,symbol,direction,entry,sl,tp1,tp2,rr,confidence,created_at
61,BTWUSDT,LONG,0.06964976,0.0647,0.07459953,0.07954929,2.00,MEDIUM,2026-06-19T15:07:17+00:00
62,ESPORTSUSDT,SHORT,0.03368827,0.03559,0.03178654,0.02988482,2.00,MEDIUM,2026-06-19T15:07:17+00:00
63,GUAUSDT,SHORT,0.88563214,0.91416071,0.85710357,0.828575,2.00,MEDIUM,2026-06-19T15:07:17+00:00
65,ZEREBROUSDT,LONG,0.04590422,0.040604,0.05120444,0.05650466,2.00,WEAK,2026-06-19T15:07:17+00:00
66,BELUSDT,LONG,0.11377421,0.105,0.12254841,0.13132262,2.00,MEDIUM,2026-06-19T15:21:50+00:00
67,BTWUSDT,LONG,0.06986338,0.06472,0.07500676,0.08015014,2.00,WEAK,2026-06-19T15:21:50+00:00
68,ESPORTSUSDT,SHORT,0.03358103,0.03559,0.03157207,0.0295631,2.00,WEAK,2026-06-19T15:21:50+00:00
69,REUSDT,LONG,0.70492852,0.5666,0.84325705,0.98158557,2.00,WEAK,2026-06-19T15:21:50+00:00
70,ZEREBROUSDT,LONG,0.04599688,0.041958,0.05003577,0.05407465,2.00,WEAK,2026-06-19T15:21:50+00:00
71,BLESSUSDT,LONG,0.0082291,0.007844,0.00861419,0.00899929,2.00,MEDIUM,2026-06-20T06:35:11+00:00
72,BTWUSDT,LONG,0.10550946,0.08524,0.12577891,0.14604837,2.00,MEDIUM,2026-06-20T06:35:11+00:00
73,UBUSDT,SHORT,0.08502018,0.08698089,0.08305946,0.08109875,2.00,MEDIUM,2026-06-20T06:35:11+00:00
74,BICOUSDT,LONG,0.03574222,0.03115,0.04033444,0.04492666,2.00,WEAK,2026-06-20T06:35:11+00:00
75,REUSDT,LONG,0.84237321,0.7817,0.90304643,0.96371964,2.00,WEAK,2026-06-20T06:35:11+00:00
76,BELUSDT,LONG,0.12351688,0.11206,0.13497375,0.14643063,2.00,MEDIUM,2026-06-20T06:50:16+00:00
77,BICOUSDT,LONG,0.03611008,0.03115,0.04107017,0.04603025,2.00,MEDIUM,2026-06-20T06:50:16+00:00
78,BLESSUSDT,LONG,0.0082538,0.007844,0.0086636,0.00907341,2.00,MEDIUM,2026-06-20T06:50:16+00:00
79,REUSDT,LONG,0.8611583,0.7817,0.9406166,1.0200749,2.00,MEDIUM,2026-06-20T06:50:16+00:00
80,BTWUSDT,LONG,0.10670016,0.08944,0.12396032,0.14122047,2.00,WEAK,2026-06-20T06:50:16+00:00
81,BELUSDT,LONG,0.12568487,0.11206,0.13930973,0.1529346,2.00,MEDIUM,2026-06-20T07:05:21+00:00
82,BICOUSDT,LONG,0.03656812,0.03115,0.04198623,0.04740435,2.00,MEDIUM,2026-06-20T07:05:21+00:00
83,BTWUSDT,LONG,0.10788881,0.09025,0.12552761,0.14316642,2.00,MEDIUM,2026-06-20T07:05:21+00:00
84,RIFUSDT,LONG,0.10479323,0.0952,0.11438646,0.12397969,2.00,MEDIUM,2026-06-20T07:05:21+00:00
85,REUSDT,LONG,0.86401102,0.7817,0.94632204,1.02863306,2.00,WEAK,2026-06-20T07:05:21+00:00
